from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-04-11T07:30Z,4.2,0.0,19.6,1.2,11.5,14.0,0.0,9.3,40.2
2023-04-11T08:00Z,4.2,0.0,17.8,1.2,11.7,14.0,0.0,11.8,39.4
2023-04-11T08:30Z,4.1,0.0,14.9,1.2,13.6,13.8,0.0,13.8,38.6
2023-04-11T09:00Z,4.1,0.0,14.7,1.2,13.7,13.9,0.0,15.2,37.0
2023-04-11T09:30Z,4.2,0.0,15.2,1.0,12.7,14.0,0.0,16.2,36.7
2023-04-11T10:00Z,4.1,0.0,15.3,0.9,12.7,14.1,0.0,15.8,37.1
2023-04-11T10:30Z,4.1,0.0,14.5,1.0,13.7,13.9,0.0,15.5,37.2
2023-04-11T11:00Z,4.3,0.0,15.0,1.2,13.9,14.1,0.0,15.2,36.4
2023-04-11T11:30Z,4.3,0.0,18.8,1.2,12.0,14.1,0.0,13.8,35.8
2023-04-11T12:00Z,4.3,0.0,19.7,1.2,12.0,14.2,0.0,12.4,36.1
2023-04-11T12:30Z,4.3,0.0,20.2,1.0,13.4,14.2,0.0,10.6,36.4
2023-04-11T13:00Z,4.3,0.0,20.7,1.0,13.5,14.2,0.0,8.9,37.5
2023-04-11T13:30Z,4.2,0.0,19.5,0.7,15.8,13.9,0.0,7.2,38.7
2023-04-11T14:00Z,4.1,0.0,20.2,0.8,15.4,13.7,0.0,5.6,40.2
2023-04-11T14:30Z,4.1,0.0,24.5,1.1,10.2,13.6,0.0,4.5,42.1
2023-04-11T15:00Z,4.0,0.0,24.9,2.3,9.7,13.4,0.0,3.3,42.5
2023-04-11T15:30Z,4.0,0.0,27.8,3.8,6.0,13.2,0.0,2.4,42.9
2023-04-11T16:00Z,3.9,0.0,28.0,4.1,5.8,12.8,0.0,1.6,43.7
2023-04-11T16:30Z,3.8,0.0,29.8,4.3,4.5,12.6,0.0,1.0,44.0
2023-04-11T17:00Z,3.8,0.0,30.5,4.2,4.6,12.7,0.0,0.6,43.5
2023-04-11T17:30Z,3.9,0.0,31.8,3.5,3.9,12.7,0.0,0.4,43.8
2023-04-11T18:00Z,3.9,0.0,31.6,3.7,3.6,12.7,0.0,0.2,44.3
2023-04-11T18:30Z,3.9,0.0,32.1,3.4,3.4,12.6,0.0,0.1,44.6
2023-04-11T19:00Z,3.9,0.0,32.3,2.9,3.1,12.8,0.0,0.1,44.9
2023-04-11T19:30Z,4.1,0.0,31.3,2.8,2.4,13.3,0.0,0.0,46.2
2023-04-11T20:00Z,4.2,0.0,30.5,1.9,2.0,13.8,0.0,0.1,47.5
2023-04-11T20:30Z,4.3,0.0,29.4,1.4,1.2,14.1,0.0,0.0,49.6
2023-04-11T21:00Z,4.5,0.0,27.1,1.7,0.7,14.6,0.0,0.0,51.4
2023-04-11T21:30Z,4.0,0.0,24.8,1.7,0.6,15.4,0.0,0.0,53.5
2023-04-11T22:00Z,3.6,0.0,23.5,1.2,1.0,15.7,0.0,0.1,55.0
2023-04-11T22:30Z,3.7,0.0,22.0,1.1,1.7,16.0,0.0,0.0,55.6
2023-04-11T23:00Z,3.4,0.0,21.9,1.0,1.8,16.0,0.0,0.1,55.8
2023-04-11T23:30Z,3.3,0.0,17.6,1.1,2.2,16.9,0.0,0.0,58.9
2023-04-12T00:00Z,4.2,0.0,18.4,1.1,0.7,17.2,0.0,0.0,58.3
2023-04-12T00:30Z,4.2,0.0,17.5,1.1,2.2,17.1,0.0,0.0,57.8
2023-04-12T01:00Z,3.6,0.0,17.5,1.1,2.3,17.1,0.0,0.2,58.2
2023-04-12T01:30Z,4.2,0.0,20.2,1.1,1.7,16.8,0.0,0.0,56.1
2023-04-12T02:00Z,4.6,0.0,20.5,1.0,1.4,16.8,0.0,0.0,55.7
2023-04-12T02:30Z,4.9,0.0,21.9,1.0,0.4,16.8,0.0,0.0,55.1
2023-04-12T03:00Z,4.9,0.0,22.7,0.9,0.6,16.9,0.0,0.0,54.0
2023-04-12T03:30Z,5.3,0.0,23.3,0.9,1.2,17.0,0.0,0.0,52.4
2023-04-12T04:00Z,5.2,0.0,25.7,0.9,1.4,16.7,0.0,0.0,50.0
2023-04-12T04:30Z,5.0,0.0,27.2,1.2,3.4,16.2,0.0,0.0,47.0
2023-04-12T05:00Z,4.9,0.0,29.6,1.3,3.7,15.8,0.0,0.0,44.6
2023-04-12T05:30Z,4.8,0.0,28.4,1.4,6.2,15.5,0.0,0.6,43.0
2023-04-12T06:00Z,4.6,0.0,28.3,1.2,6.4,15.0,0.0,2.1,42.2
2023-04-12T06:30Z,4.6,0.0,28.3,1.3,6.4,15.0,0.0,2.1,42.2
2023-04-12T07:00Z,4.3,0.0,22.9,1.2,6.8,15.2,0.0,3.5,46.2
